ticker,company_name,exchange,cik,sec_rank,source,source_url
AAOI,"APPLIED OPTOELECTRONICS, INC.",Nasdaq,0001158114,791,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
AAON,"AAON, INC.",Nasdaq,0000824142,958,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
AAP,ADVANCE AUTO PARTS INC,NYSE,0001158449,1713,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
AAPG,ASCENTAGE PHARMA GROUP INTERNATIONAL,Nasdaq,0002023311,2356,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
AAPL,Apple Inc.,Nasdaq,0000320193,3,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
AARD,"Aardvark Therapeutics, Inc.",Nasdaq,0001774857,4985,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
AAT,"American Assets Trust, Inc.",NYSE,0001500217,2195,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
AAUC,Allied Gold Corp,NYSE,0001993344,1823,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
AB,ALLIANCEBERNSTEIN HOLDING L.P.,NYSE,0000825313,1763,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
ABAT,AMERICAN BATTERY TECHNOLOGY Co,Nasdaq,0001576873,3406,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
ABBV,AbbVie Inc.,NYSE,0001551152,27,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
ABCB,Ameris Bancorp,NYSE,0000351569,1329,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
ABCL,AbCellera Biologics Inc.,Nasdaq,0001703057,2340,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
ABEO,ABEONA THERAPEUTICS INC.,Nasdaq,0000318306,3815,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
ABEV,AMBEV S.A.,NYSE,0001565025,334,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
ABG,ASBURY AUTOMOTIVE GROUP INC,NYSE,0001144980,1705,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
ABLV,Able View Global Inc.,Nasdaq,0001957489,5220,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
ABLVW,Able View Global Inc.,Nasdaq,0001957489,9647,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
ABM,ABM INDUSTRIES INC /DE/,NYSE,0000771497,1949,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
ABNB,"Airbnb, Inc.",Nasdaq,0001559720,225,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
ABOS,"Acumen Pharmaceuticals, Inc.",Nasdaq,0001576885,4411,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
ABR,ARBOR REALTY TRUST INC,NYSE,0001253986,2680,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
ABR.PD,ARBOR REALTY TRUST INC,NYSE,0001253986,8681,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
ABR.PE,ARBOR REALTY TRUST INC,NYSE,0001253986,8682,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
ABR.PF,ARBOR REALTY TRUST INC,NYSE,0001253986,8683,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
ABSI,Absci Corp,Nasdaq,0001672688,2733,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
ABT,ABBOTT LABORATORIES,NYSE,0000001800,97,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
ABTC,American Bitcoin Corp.,Nasdaq,0001755953,2415,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
ABTS,Abits Group Inc,Nasdaq,0001864055,6564,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
ABUS,Arbutus Biopharma Corp,Nasdaq,0001447028,2892,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
ABVC,"ABVC BIOPHARMA, INC.",Nasdaq,0001173313,5511,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
ABVE,Above Food Ingredients Inc.,Nasdaq,0001979484,8063,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
ABVX,Abivax S.A.,Nasdaq,0001956827,1120,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
ABX,"Abacus Global Management, Inc.",NYSE,0001814287,2844,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
ABXL,"Abacus Global Management, Inc.",NYSE,0001814287,9283,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
ACA,"Arcosa, Inc.",NYSE,0001739445,1303,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
ACAA,Averin Capital Acquisition Corp.,Nasdaq,0002096900,3668,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
ACAAU,Averin Capital Acquisition Corp.,Nasdaq,0002096900,10317,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
ACAAW,Averin Capital Acquisition Corp.,Nasdaq,0002096900,10318,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
ACAD,ACADIA PHARMACEUTICALS INC,Nasdaq,0001070494,1702,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
ACB,AURORA CANNABIS INC,Nasdaq,0001683541,4360,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
ACCL,Acco Group Holdings Ltd,Nasdaq,0002038378,5648,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
ACCO,ACCO BRANDS Corp,NYSE,0000712034,6935,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
ACCS,ACCESS Newswire Inc.,NYSE,0000843006,5681,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
ACDC,ProFrac Holding Corp.,Nasdaq,0001881487,2546,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
ACEL,"Accel Entertainment, Inc.",NYSE,0001698991,2676,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
ACET,"Adicet Bio, Inc.",Nasdaq,0001720580,5059,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
ACFN,"ACORN ENERGY, INC.",Nasdaq,0000880984,5423,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
ACGC,ACP Holdings Acquisition Corp.,Nasdaq,0002111542,3913,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
ACGCU,ACP Holdings Acquisition Corp.,Nasdaq,0002111542,10390,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
ACGCW,ACP Holdings Acquisition Corp.,Nasdaq,0002111542,10391,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
ACGL,ARCH CAPITAL GROUP LTD.,Nasdaq,0000947484,459,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
ACGLN,ARCH CAPITAL GROUP LTD.,Nasdaq,0000947484,8501,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
ACGLO,ARCH CAPITAL GROUP LTD.,Nasdaq,0000947484,8502,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
ACH,ACCENDRA HEALTH INC/VA/,NYSE,0000075252,4100,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
ACHC,"Acadia Healthcare Company, Inc.",Nasdaq,0001520697,2073,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
ACHR,Archer Aviation Inc.,NYSE,0001824502,1625,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
ACHR.WT,Archer Aviation Inc.,NYSE,0001824502,9315,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
ACHV,"ACHIEVE LIFE SCIENCES, INC.",Nasdaq,0000949858,3202,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
ACI,"Albertsons Companies, Inc.",NYSE,0001646972,1148,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
ACIC,AMERICAN COASTAL INSURANCE Corp,Nasdaq,0001401521,3317,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
ACIU,AC Immune SA,Nasdaq,0001651625,4176,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
ACIW,"ACI WORLDWIDE, INC.",Nasdaq,0000935036,1544,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
ACLS,AXCELIS TECHNOLOGIES INC,Nasdaq,0001113232,1417,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
ACM,AECOM,NYSE,0000868857,1057,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
ACMR,"ACM Research, Inc.",Nasdaq,0001680062,1289,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
ACN,Accenture plc,NYSE,0001467373,156,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
ACNB,ACNB CORP,Nasdaq,0000715579,3194,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
ACNT,ASCENT INDUSTRIES CO.,Nasdaq,0000095953,4651,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
ACOG,Alpha Cognition Inc.,Nasdaq,0001655923,4629,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
ACON,"Aclarion, Inc.",Nasdaq,0001635077,6264,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
ACONW,"Aclarion, Inc.",Nasdaq,0001635077,9088,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
ACP,abrdn Income Credit Strategies Fund,NYSE,0001503290,3080,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
ACP.PA,abrdn Income Credit Strategies Fund,NYSE,0001503290,8920,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
ACR,ACRES Commercial Realty Corp.,NYSE,0001332551,4621,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
ACR.PC,ACRES Commercial Realty Corp.,NYSE,0001332551,8736,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
ACR.PD,ACRES Commercial Realty Corp.,NYSE,0001332551,8737,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
ACRE,Ares Commercial Real Estate Corp,NYSE,0001529377,3975,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
ACRS,"Aclaris Therapeutics, Inc.",Nasdaq,0001557746,3156,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
ACRV,"Acrivon Therapeutics, Inc.",Nasdaq,0001781174,5145,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
ACT,"Enact Holdings, Inc.",Nasdaq,0001823529,1327,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
ACTG,ACACIA RESEARCH CORP,Nasdaq,0000934549,3421,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
ACTU,"ACTUATE THERAPEUTICS, INC.",Nasdaq,0001652935,5326,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
ACU,ACME UNITED CORP,NYSE,0000002098,4396,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
ACV,Virtus Diversified Income & Convertible Fund,NYSE,0001636289,3948,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
ACVA,ACV Auctions Inc.,NYSE,0001637873,2663,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
ACXP,"Acurx Pharmaceuticals, Inc.",Nasdaq,0001736243,6304,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
AD,"ARRAY DIGITAL INFRASTRUCTURE, INC.",NYSE,0000821130,1756,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
ADAC,American Drive Acquisition Co,Nasdaq,0002083002,3942,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
ADACU,American Drive Acquisition Co,Nasdaq,0002083002,10170,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
ADACW,American Drive Acquisition Co,Nasdaq,0002083002,10171,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
ADAG,Adagene Inc.,Nasdaq,0001818838,4119,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
ADAM,"ADAMAS TRUST, INC.",Nasdaq,0001273685,2909,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
ADAMG,"ADAMAS TRUST, INC.",Nasdaq,0001273685,8695,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
ADAMH,"ADAMAS TRUST, INC.",Nasdaq,0001273685,8696,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
ADAMI,"ADAMAS TRUST, INC.",Nasdaq,0001273685,8697,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
ADAML,"ADAMAS TRUST, INC.",Nasdaq,0001273685,8698,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
ADAMM,"ADAMAS TRUST, INC.",Nasdaq,0001273685,8699,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
ADAMN,"ADAMAS TRUST, INC.",Nasdaq,0001273685,8700,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
ADAMO,"ADAMAS TRUST, INC.",Nasdaq,0001273685,8701,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
ADAMZ,"ADAMAS TRUST, INC.",Nasdaq,0001273685,8702,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
ADBE,ADOBE INC.,Nasdaq,0000796343,181,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
ADC,AGREE REALTY CORP,NYSE,0000917251,1047,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
ADC.PA,AGREE REALTY CORP,NYSE,0000917251,8457,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
ADCT,ADC Therapeutics SA,NYSE,0001771910,4579,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
ADEA,Adeia Inc.,Nasdaq,0001803696,1733,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
ADGM,"Adagio Medical Holdings, Inc.",Nasdaq,0002006986,5910,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
ADI,ANALOG DEVICES INC,Nasdaq,0000006281,70,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
ADIL,"ADIAL PHARMACEUTICALS, INC.",Nasdaq,0001513525,6345,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
ADM,Archer-Daniels-Midland Co,NYSE,0000007084,408,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
ADMA,"ADMA BIOLOGICS, INC.",Nasdaq,0001368514,2191,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
ADNT,Adient plc,NYSE,0001670541,2271,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
ADP,AUTOMATIC DATA PROCESSING INC,Nasdaq,0000008670,177,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
ADPT,Adaptive Biotechnologies Corp,Nasdaq,0001478320,1872,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
ADSE,Ads-Tec Energy Public Ltd Co,Nasdaq,0001879248,2920,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
ADSEW,Ads-Tec Energy Public Ltd Co,Nasdaq,0001879248,9521,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
ADSK,"Autodesk, Inc.",Nasdaq,0000769397,364,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
ADT,ADT Inc.,NYSE,0001703056,1427,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
ADTN,"ADTRAN Holdings, Inc.",Nasdaq,0000926282,2593,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
ADTX,"Aditxt, Inc.",Nasdaq,0001726711,6919,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
ADUR,ADURO CLEAN TECHNOLOGIES INC.,Nasdaq,0001863934,3315,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
ADUS,Addus HomeCare Corp,Nasdaq,0001468328,2276,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
ADV,Advantage Solutions Inc.,Nasdaq,0001776661,3303,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
ADVB,Advanced Biomed Inc.,Nasdaq,0001941029,6327,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
ADX,"ADAMS DIVERSIFIED EQUITY FUND, INC.",NYSE,0000002230,1861,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
ADXN,Addex Therapeutics Ltd.,Nasdaq,0001574232,6249,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
AEAQ,Activate Energy Acquisition Corp.,Nasdaq,0002083689,3827,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
AEAQU,Activate Energy Acquisition Corp.,Nasdaq,0002083689,10184,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
AEAQW,Activate Energy Acquisition Corp.,Nasdaq,0002083689,10185,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
AEBI,Aebi Schmidt Holding AG,Nasdaq,0002048519,2805,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
AEC,ANFIELD ENERGY INC.,Nasdaq,0001519469,5060,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
AEE,AMEREN CORP,NYSE,0001002910,482,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
AEF,"abrdn Emerging Markets ex-China Fund, Inc.",NYSE,0000846676,3588,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
AEFC,AEGON LTD.,NYSE,0000769218,8348,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
AEG,AEGON LTD.,NYSE,0000769218,850,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
AEHL,Antelope Enterprise Holdings Ltd,Nasdaq,0001470683,5807,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
AEHR,AEHR TEST SYSTEMS,Nasdaq,0001040470,1801,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
AEI,Alset Inc.,Nasdaq,0001750106,5261,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
AEIS,ADVANCED ENERGY INDUSTRIES INC,Nasdaq,0000927003,812,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
AEM,AGNICO EAGLE MINES LTD,NYSE,0000002809,216,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
AEMD,AETHLON MEDICAL INC,Nasdaq,0000882291,6513,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
AENT,ALLIANCE ENTERTAINMENT HOLDING CORP,Nasdaq,0001823584,3951,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
AENTW,ALLIANCE ENTERTAINMENT HOLDING CORP,Nasdaq,0001823584,9308,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
AEO,AMERICAN EAGLE OUTFITTERS INC,NYSE,0000919012,1853,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
AEON,"AEON Biopharma, Inc.",NYSE,0001837607,5852,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
AEP,AMERICAN ELECTRIC POWER CO INC,Nasdaq,0000004904,254,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
AER,AerCap Holdings N.V.,NYSE,0001378789,604,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
AERO,"Grupo Aeromexico, S.A.B. de C.V.",NYSE,0001561861,2000,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
AERT,"Aeries Technology, Inc.",Nasdaq,0001853044,5572,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
AERTW,"Aeries Technology, Inc.",Nasdaq,0001853044,9437,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
AES,AES CORP,NYSE,0000874761,961,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
AESI,Atlas Energy Solutions Inc.,NYSE,0001984060,2137,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
AESPU,Aeon Acquisition I Corp.,Nasdaq,0002082526,10160,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
AEVA,"Aeva Technologies, Inc.",Nasdaq,0001789029,2361,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
AEXA,American Exceptionalism Acquisition Corp. A,NYSE,0002079173,3217,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
AEYE,AUDIOEYE INC,Nasdaq,0001362190,4937,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
AFB,ALLIANCEBERNSTEIN NATIONAL MUNICIPAL INCOME FUND,NYSE,0001162027,3774,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
AFBI,"Affinity Bancshares, Inc.",Nasdaq,0001823406,4585,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
AFCG,Advanced Flower Capital Inc.,Nasdaq,0001822523,4975,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
AFG,AMERICAN FINANCIAL GROUP INC,NYSE,0001042046,932,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
AFGB,AMERICAN FINANCIAL GROUP INC,NYSE,0001042046,8551,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
AFGC,AMERICAN FINANCIAL GROUP INC,NYSE,0001042046,8552,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
AFGD,AMERICAN FINANCIAL GROUP INC,NYSE,0001042046,8553,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
AFGE,AMERICAN FINANCIAL GROUP INC,NYSE,0001042046,8554,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
AFJK,"Aimei Health Technology Co., Ltd.",Nasdaq,0001979005,4799,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
AFJKR,"Aimei Health Technology Co., Ltd.",Nasdaq,0001979005,9676,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
AFJKU,"Aimei Health Technology Co., Ltd.",Nasdaq,0001979005,9677,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
AFL,AFLAC INC,NYSE,0000004977,291,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
AFRI,Forafric Global PLC,Nasdaq,0001903870,3999,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
AFRIW,Forafric Global PLC,Nasdaq,0001903870,9576,SEC company_tickers_exchange.json,https://www.sec.gov/files/company_tickers_exchange.json
