ticker,as_of_date,next_target_announcement_date,label_target_within_6m,next_acquirer_announcement_date,label_acquirer_within_6m
ABBV,2026-02-28,,0,,0
ABCB,2026-01-31,,0,,0
ABCB,2026-02-28,,0,,0
ABCL,2026-01-31,,0,,0
ABCL,2026-02-28,,0,,0
ABEO,2026-01-31,,0,,0
ABEO,2026-02-28,,0,,0
ABEV,2026-01-31,,0,,0
ABEV,2026-02-28,,0,,0
ABG,2026-01-31,,0,,0
ABG,2026-02-28,,0,,0
ABLV,2026-01-31,,0,,0
ABLV,2026-02-28,,0,,0
ABLVW,2026-01-31,,0,,0
ABLVW,2026-02-28,,0,,0
ABM,2026-01-31,,0,,0
ABM,2026-02-28,,0,,0
ABNB,2026-01-31,,0,,0
ABNB,2026-02-28,,0,,0
ABOS,2026-01-31,,0,,0
ABOS,2026-02-28,,0,,0
ABR,2026-01-31,,0,,0
ABR,2026-02-28,,0,,0
ABR.PD,2026-01-31,,0,,0
ABR.PD,2026-02-28,,0,,0
ABR.PE,2026-01-31,,0,,0
ABR.PE,2026-02-28,,0,,0
ABR.PF,2026-01-31,,0,,0
ABR.PF,2026-02-28,,0,,0
ABSI,2026-01-31,,0,,0
ABSI,2026-02-28,,0,,0
ABT,2026-01-31,,0,,0
ABT,2026-02-28,,0,,0
ABTC,2026-01-31,,0,,0
ABTC,2026-02-28,,0,,0
ABTS,2026-01-31,,0,,0
ABTS,2026-02-28,,0,,0
ABUS,2026-01-31,,0,,0
ABUS,2026-02-28,,0,,0
ABVC,2026-01-31,,0,,0
ABVC,2026-02-28,,0,,0
ABVE,2026-01-31,,0,,0
ABVE,2026-02-28,,0,,0
ABVX,2026-01-31,,0,,0
ABVX,2026-02-28,,0,,0
ABX,2026-01-31,,0,,0
ABX,2026-02-28,,0,,0
ABXL,2026-01-31,,0,,0
ABXL,2026-02-28,,0,,0
ACA,2026-01-31,,0,,0
ACA,2026-02-28,,0,,0
ACAA,2026-01-31,,0,,0
ACAA,2026-02-28,,0,,0
ACAAU,2026-01-31,,0,,0
ACAAU,2026-02-28,,0,,0
ACAAW,2026-01-31,,0,,0
ACAAW,2026-02-28,,0,,0
ACAD,2026-01-31,,0,,0
ACAD,2026-02-28,,0,,0
ACB,2026-01-31,,0,,0
ACB,2026-02-28,,0,,0
ACCL,2026-01-31,,0,,0
ACCL,2026-02-28,,0,,0
ACCO,2026-01-31,,0,,0
ACCO,2026-02-28,,0,,0
ACCS,2026-01-31,,0,,0
ACCS,2026-02-28,,0,,0
ACDC,2026-01-31,,0,,0
ACDC,2026-02-28,,0,,0
ACEL,2026-01-31,,0,,0
ACEL,2026-02-28,,0,,0
ACET,2026-01-31,,0,,0
ACET,2026-02-28,,0,,0
ACFN,2026-01-31,,0,,0
ACFN,2026-02-28,,0,,0
ACGC,2026-01-31,,0,,0
ACGC,2026-02-28,,0,,0
ACGCU,2026-01-31,,0,,0
ACGCU,2026-02-28,,0,,0
ACGCW,2026-01-31,,0,,0
ACGCW,2026-02-28,,0,,0
ACGL,2026-01-31,,0,,0
ACGL,2026-02-28,,0,,0
ACGLN,2026-01-31,,0,,0
ACGLN,2026-02-28,,0,,0
ACGLO,2026-01-31,,0,,0
ACGLO,2026-02-28,,0,,0
ACH,2026-01-31,,0,,0
ACH,2026-02-28,,0,,0
ACHC,2026-01-31,,0,,0
ACHC,2026-02-28,,0,,0
ACHR,2026-01-31,,0,,0
ACHR,2026-02-28,,0,,0
ACHR.WT,2026-01-31,,0,,0
ACHR.WT,2026-02-28,,0,,0
ACHV,2026-01-31,,0,,0
ACHV,2026-02-28,,0,,0
ACI,2026-01-31,,0,,0
ACI,2026-02-28,,0,,0
ACIC,2026-01-31,,0,,0
ACIC,2026-02-28,,0,,0
ACIU,2026-01-31,,0,,0
ACIU,2026-02-28,,0,,0
ACIW,2026-01-31,,0,,0
ACIW,2026-02-28,,0,,0
ACLS,2026-01-31,,0,,0
ACLS,2026-02-28,,0,,0
ACM,2026-01-31,,0,,0
ACM,2026-02-28,,0,,0
ACMR,2026-01-31,,0,,0
ACMR,2026-02-28,,0,,0
ACN,2026-01-31,,0,,0
ACN,2026-02-28,,0,,0
ACNB,2026-01-31,,0,,0
ACNB,2026-02-28,,0,,0
ACNT,2026-01-31,,0,,0
ACNT,2026-02-28,,0,,0
ACOG,2026-01-31,,0,,0
ACOG,2026-02-28,,0,,0
ACON,2026-01-31,,0,,0
ACON,2026-02-28,,0,,0
ACONW,2026-01-31,,0,,0
ACONW,2026-02-28,,0,,0
ACP,2026-01-31,,0,,0
ACP,2026-02-28,,0,,0
ACP.PA,2026-01-31,,0,,0
ACP.PA,2026-02-28,,0,,0
ACR,2026-01-31,,0,,0
ACR,2026-02-28,,0,,0
ACR.PC,2026-01-31,,0,,0
ACR.PC,2026-02-28,,0,,0
ACR.PD,2026-01-31,,0,,0
ACR.PD,2026-02-28,,0,,0
ACRE,2026-01-31,,0,,0
ACRE,2026-02-28,,0,,0
ACRS,2026-01-31,,0,,0
ACRS,2026-02-28,,0,,0
ACRV,2026-01-31,,0,,0
ACRV,2026-02-28,,0,,0
ACT,2026-01-31,,0,,0
ACT,2026-02-28,,0,,0
ACTG,2026-01-31,,0,,0
ACTG,2026-02-28,,0,,0
ACTU,2026-01-31,,0,,0
ACTU,2026-02-28,,0,,0
ACU,2026-01-31,,0,,0
ACU,2026-02-28,,0,,0
ACV,2026-01-31,,0,,0
ACV,2026-02-28,,0,,0
ACVA,2026-01-31,,0,,0
ACVA,2026-02-28,,0,,0
ACXP,2026-01-31,,0,,0
ACXP,2026-02-28,,0,,0
AD,2026-01-31,2026-05-08,1,,0
AD,2026-02-28,2026-05-08,1,,0
ADAC,2026-01-31,,0,,0
ADAC,2026-02-28,,0,,0
ADACU,2026-01-31,,0,,0
ADACU,2026-02-28,,0,,0
ADACW,2026-01-31,,0,,0
ADACW,2026-02-28,,0,,0
ADAG,2026-01-31,,0,,0
ADAG,2026-02-28,,0,,0
ADAM,2026-01-31,,0,,0
ADAM,2026-02-28,,0,,0
ADAMG,2026-01-31,,0,,0
ADAMG,2026-02-28,,0,,0
ADAMH,2026-01-31,,0,,0
ADAMH,2026-02-28,,0,,0
ADAMI,2026-01-31,,0,,0
ADAMI,2026-02-28,,0,,0
ADAML,2026-01-31,,0,,0
ADAML,2026-02-28,,0,,0
ADAMM,2026-01-31,,0,,0
ADAMM,2026-02-28,,0,,0
ADAMN,2026-01-31,,0,,0
ADAMN,2026-02-28,,0,,0
ADAMO,2026-01-31,,0,,0
ADAMO,2026-02-28,,0,,0
ADAMZ,2026-01-31,,0,,0
ADAMZ,2026-02-28,,0,,0
ADBE,2026-01-31,,0,,0
ADBE,2026-02-28,,0,,0
ADC,2026-01-31,,0,,0
ADC,2026-02-28,,0,,0
ADC.PA,2026-01-31,,0,,0
ADC.PA,2026-02-28,,0,,0
ADCT,2026-01-31,,0,,0
ADCT,2026-02-28,,0,,0
ADEA,2026-01-31,,0,,0
ADEA,2026-02-28,,0,,0
ADGM,2026-01-31,,0,,0
ADGM,2026-02-28,,0,,0
ADI,2026-01-31,,0,,0
ADI,2026-02-28,,0,,0
ADIL,2026-01-31,,0,,0
ADIL,2026-02-28,,0,,0
ADM,2026-01-31,,0,,0
ADM,2026-02-28,,0,,0
ADMA,2026-01-31,,0,,0
ADMA,2026-02-28,,0,,0
ADNT,2026-01-31,,0,,0
ADNT,2026-02-28,,0,,0
ADP,2026-01-31,,0,,0
ADP,2026-02-28,,0,,0
ADPT,2026-01-31,,0,,0
ADPT,2026-02-28,,0,,0
ADSE,2026-01-31,,0,,0
ADSE,2026-02-28,,0,,0
ADSEW,2026-01-31,,0,,0
ADSEW,2026-02-28,,0,,0
ADSK,2026-01-31,,0,,0
ADSK,2026-02-28,,0,,0
ADT,2026-01-31,,0,,0
ADT,2026-02-28,,0,,0
ADTN,2026-01-31,,0,,0
ADTN,2026-02-28,,0,,0
ADTX,2026-01-31,,0,,0
ADTX,2026-02-28,,0,,0
ADUR,2026-01-31,,0,,0
ADUR,2026-02-28,,0,,0
ADUS,2026-01-31,,0,,0
ADUS,2026-02-28,,0,,0
ADV,2026-01-31,,0,,0
ADV,2026-02-28,,0,,0
ADVB,2026-01-31,,0,,0
ADVB,2026-02-28,,0,,0
ADX,2026-01-31,,0,,0
ADX,2026-02-28,,0,,0
ADXN,2026-01-31,,0,,0
ADXN,2026-02-28,,0,,0
AEAQ,2026-01-31,,0,,0
AEAQ,2026-02-28,,0,,0
AEAQU,2026-01-31,,0,,0
AEAQU,2026-02-28,,0,,0
AEAQW,2026-01-31,,0,,0
AEAQW,2026-02-28,,0,,0
AEBI,2026-01-31,,0,,0
AEBI,2026-02-28,,0,,0
AEC,2026-01-31,,0,,0
AEC,2026-02-28,,0,,0
AEE,2026-01-31,,0,,0
AEE,2026-02-28,,0,,0
AEF,2026-01-31,,0,,0
AEF,2026-02-28,,0,,0
AEFC,2026-01-31,,0,,0
AEFC,2026-02-28,,0,,0
AEG,2026-01-31,,0,,0
AEG,2026-02-28,,0,,0
AEHL,2026-01-31,,0,,0
AEHL,2026-02-28,,0,,0
AEHR,2026-01-31,,0,,0
AEHR,2026-02-28,,0,,0
AEI,2026-01-31,,0,,0
AEI,2026-02-28,,0,,0
AEIS,2026-01-31,,0,,0
AEIS,2026-02-28,,0,,0
AEM,2026-01-31,,0,,0
AEM,2026-02-28,,0,,0
AEMD,2026-01-31,,0,,0
AEMD,2026-02-28,,0,,0
AENT,2026-01-31,,0,,0
AENT,2026-02-28,,0,,0
AENTW,2026-01-31,,0,,0
AENTW,2026-02-28,,0,,0
AEO,2026-01-31,,0,,0
AEO,2026-02-28,,0,,0
AEON,2026-01-31,,0,,0
AEON,2026-02-28,,0,,0
AEP,2026-01-31,,0,,0
AEP,2026-02-28,,0,,0
AER,2026-01-31,,0,,0
AER,2026-02-28,,0,,0
AERO,2026-01-31,,0,,0
AERO,2026-02-28,,0,,0
AERT,2026-01-31,,0,,0
AERT,2026-02-28,,0,,0
AERTW,2026-01-31,,0,,0
AERTW,2026-02-28,,0,,0
AES,2026-01-31,2026-03-02,1,,0
AES,2026-02-28,2026-03-02,1,,0
AESI,2026-01-31,,0,,0
AESI,2026-02-28,,0,,0
AESPU,2026-01-31,,0,,0
AESPU,2026-02-28,,0,,0
AEVA,2026-01-31,,0,,0
AEVA,2026-02-28,,0,,0
AEXA,2026-01-31,,0,,0
AEXA,2026-02-28,,0,,0
AEYE,2026-01-31,,0,,0
AEYE,2026-02-28,,0,,0
AFB,2026-01-31,,0,,0
AFB,2026-02-28,,0,,0
AFBI,2026-01-31,2026-03-30,1,,0
AFBI,2026-02-28,2026-03-30,1,,0
AFCG,2026-01-31,,0,,0
AFCG,2026-02-28,,0,,0
AFG,2026-01-31,,0,,0
AFG,2026-02-28,,0,,0
AFGB,2026-01-31,,0,,0
AFGB,2026-02-28,,0,,0
AFGC,2026-01-31,,0,,0
AFGC,2026-02-28,,0,,0
AFGD,2026-01-31,,0,,0
AFGD,2026-02-28,,0,,0
AFGE,2026-01-31,,0,,0
AFGE,2026-02-28,,0,,0
AFJK,2026-01-31,,0,,0
AFJK,2026-02-28,,0,,0
AFJKR,2026-01-31,,0,,0
AFJKR,2026-02-28,,0,,0
AFJKU,2026-01-31,,0,,0
AFJKU,2026-02-28,,0,,0
AFL,2026-01-31,,0,,0
AFL,2026-02-28,,0,,0
AFRI,2026-01-31,,0,,0
AFRI,2026-02-28,,0,,0
AFRIW,2026-01-31,,0,,0
AFRIW,2026-02-28,,0,,0
AFRM,2026-01-31,,0,,0
AFRM,2026-02-28,,0,,0
AFYA,2026-01-31,,0,,0
AFYA,2026-02-28,,0,,0
AG,2026-01-31,,0,,0
AG,2026-02-28,,0,,0
AGBK,2026-01-31,,0,,0
AGBK,2026-02-28,,0,,0
AGCC,2026-01-31,,0,,0
AGCC,2026-02-28,,0,,0
AGCO,2026-01-31,,0,,0
AGCO,2026-02-28,,0,,0
AGD,2026-01-31,,0,,0
AGD,2026-02-28,,0,,0
AGEN,2026-01-31,,0,,0
AGEN,2026-02-28,,0,,0
AGI,2026-01-31,,0,,0
AGI,2026-02-28,,0,,0
AGIG,2026-01-31,,0,,0
AGIG,2026-02-28,,0,,0
AGIO,2026-01-31,,0,,0
AGIO,2026-02-28,,0,,0
AGL,2026-01-31,,0,,0
AGL,2026-02-28,,0,,0
AGM,2026-01-31,,0,,0
AGM,2026-02-28,,0,,0
AGM.A,2026-01-31,,0,,0
AGM.A,2026-02-28,,0,,0
AGM.PD,2026-01-31,,0,,0
AGM.PD,2026-02-28,,0,,0
AGM.PE,2026-01-31,,0,,0
AGM.PE,2026-02-28,,0,,0
AGM.PF,2026-01-31,,0,,0
AGM.PF,2026-02-28,,0,,0
AGM.PG,2026-01-31,,0,,0
AGM.PG,2026-02-28,,0,,0
AGM.PH,2026-01-31,,0,,0
AGM.PH,2026-02-28,,0,,0
AGM.PI,2026-01-31,,0,,0
AGM.PI,2026-02-28,,0,,0
AGMB,2026-01-31,,0,,0
AGMB,2026-02-28,,0,,0
AGMH,2026-01-31,,0,,0
AGMH,2026-02-28,,0,,0
AGNC,2026-01-31,,0,,0
AGNC,2026-02-28,,0,,0
AGNCL,2026-01-31,,0,,0
AGNCL,2026-02-28,,0,,0
AGNCM,2026-01-31,,0,,0
AGNCM,2026-02-28,,0,,0
AGNCN,2026-01-31,,0,,0
AGNCN,2026-02-28,,0,,0
AGNCO,2026-01-31,,0,,0
AGNCO,2026-02-28,,0,,0
AGNCP,2026-01-31,,0,,0
AGNCP,2026-02-28,,0,,0
AGNCZ,2026-01-31,,0,,0
AGNCZ,2026-02-28,,0,,0
AGNT,2026-01-31,,0,,0
AGNT,2026-02-28,,0,,0
AGO,2026-01-31,,0,,0
AGO,2026-02-28,,0,,0
AGPU,2026-01-31,,0,,0
AGPU,2026-02-28,,0,,0
AGQ,2026-01-31,,0,,0
AGQ,2026-02-28,,0,,0
AGRO,2026-01-31,,0,,0
AGRO,2026-02-28,,0,,0
AGRZ,2026-01-31,,0,,0
AGRZ,2026-02-28,,0,,0
AGX,2026-01-31,,0,,0
AGX,2026-02-28,,0,,0
AGYS,2026-01-31,,0,,0
AGYS,2026-02-28,,0,,0
AHCO,2026-01-31,,0,,0
AHCO,2026-02-28,,0,,0
AHG,2026-01-31,,0,,0
AHG,2026-02-28,,0,,0
AHL.PD,2026-01-31,,0,,0
AHL.PD,2026-02-28,,0,,0
AHL.PE,2026-01-31,,0,,0
AHL.PE,2026-02-28,,0,,0
AHL.PF,2026-01-31,,0,,0
AHL.PF,2026-02-28,,0,,0
AHMA,2026-01-31,,0,,0
AHMA,2026-02-28,,0,,0
AHR,2026-01-31,,0,,0
AHR,2026-02-28,,0,,0
AHRT,2026-01-31,,0,,0
AHRT,2026-02-28,,0,,0
AHRT.PA,2026-01-31,,0,,0
AHRT.PA,2026-02-28,,0,,0
AHT,2026-01-31,,0,,0
AHT,2026-02-28,,0,,0
AHT.PD,2026-01-31,,0,,0
AHT.PD,2026-02-28,,0,,0
AHT.PF,2026-01-31,,0,,0
AHT.PF,2026-02-28,,0,,0
AHT.PG,2026-01-31,,0,,0
AHT.PG,2026-02-28,,0,,0
AHT.PH,2026-01-31,,0,,0
AHT.PH,2026-02-28,,0,,0
AHT.PI,2026-01-31,,0,,0
AHT.PI,2026-02-28,,0,,0
AI,2026-01-31,,0,,0
AI,2026-02-28,,0,,0
AIAI,2026-01-31,,0,,0
AIAI,2026-02-28,,0,,0
AIB,2026-01-31,,0,,0
AIB,2026-02-28,,0,,0
AIBZ,2026-01-31,,0,,0
AIBZ,2026-02-28,,0,,0
AIDX,2026-01-31,,0,,0
AIDX,2026-02-28,,0,,0
AIFA,2026-01-31,,0,,0
AIFA,2026-02-28,,0,,0
AIFC,2026-01-31,,0,,0
AIFC,2026-02-28,,0,,0
AIFF,2026-01-31,,0,,0
AIFF,2026-02-28,,0,,0
AIFU,2026-01-31,,0,,0
AIFU,2026-02-28,,0,,0
AIG,2026-01-31,,0,,0
AIG,2026-02-28,,0,,0
AIHS,2026-01-31,,0,,0
AIHS,2026-02-28,,0,,0
AII,2026-01-31,,0,,0
AII,2026-02-28,,0,,0
AIIA,2026-01-31,,0,,0
AIIA,2026-02-28,,0,,0
AIIA.RI,2026-01-31,,0,,0
AIIA.RI,2026-02-28,,0,,0
AIIA.UN,2026-01-31,,0,,0
AIIA.UN,2026-02-28,,0,,0
AIIO,2026-01-31,,0,,0
AIIO,2026-02-28,,0,,0
AIIOW,2026-01-31,,0,,0
AIIOW,2026-02-28,,0,,0
AIIR,2026-01-31,,0,,0
AIIR,2026-02-28,,0,,0
AIM,2026-01-31,,0,,0
AIM,2026-02-28,,0,,0
AIMD,2026-01-31,,0,,0
AIMD,2026-02-28,,0,,0
AIMDW,2026-01-31,,0,,0
AIMDW,2026-02-28,,0,,0
AIN,2026-01-31,,0,,0
AIN,2026-02-28,,0,,0
AIO,2026-01-31,,0,,0
AIO,2026-02-28,,0,,0
AIOS,2026-01-31,,0,,0
AIOS,2026-02-28,,0,,0
AIOT,2026-01-31,,0,,0
AIOT,2026-02-28,,0,,0
AIP,2026-01-31,,0,,0
AIP,2026-02-28,,0,,0
AIQD,2026-01-31,,0,,0
AIQD,2026-02-28,,0,,0
AIQU,2026-01-31,,0,,0
AIQU,2026-02-28,,0,,0
AIR,2026-01-31,,0,,0
AIR,2026-02-28,,0,,0
AIRE,2026-01-31,,0,,0
AIRE,2026-02-28,,0,,0
AIRG,2026-01-31,,0,,0
AIRG,2026-02-28,,0,,0
AIRI,2026-01-31,2026-02-17,1,,0
AIRI,2026-02-28,,0,,0
AIRJ,2026-01-31,,0,,0
AIRJ,2026-02-28,,0,,0
AIRJW,2026-01-31,,0,,0
AIRJW,2026-02-28,,0,,0
AIRO,2026-01-31,,0,,0
AIRO,2026-02-28,,0,,0
AIRS,2026-01-31,,0,,0
AIRS,2026-02-28,,0,,0
AIRT,2026-01-31,,0,,0
AIRT,2026-02-28,,0,,0
AIRTP,2026-01-31,,0,,0
AIRTP,2026-02-28,,0,,0
AISP,2026-01-31,,0,,0
AISP,2026-02-28,,0,,0
AISPW,2026-01-31,,0,,0
AISPW,2026-02-28,,0,,0
AIT,2026-01-31,,0,,0
AIT,2026-02-28,,0,,0
AIV,2026-01-31,,0,,0
AIV,2026-02-28,,0,,0
AIXC,2026-01-31,,0,,0
AIXC,2026-02-28,,0,,0
AIXI,2026-01-31,,0,,0
AIXI,2026-02-28,,0,,0
AIZ,2026-01-31,,0,,0
AIZ,2026-02-28,,0,,0
AIZN,2026-01-31,,0,,0
AIZN,2026-02-28,,0,,0
AJG,2026-01-31,,0,,0
AJG,2026-02-28,,0,,0
AKA,2026-01-31,,0,,0
AKA,2026-02-28,,0,,0
AKAM,2026-01-31,,0,,0
AKAM,2026-02-28,,0,,0
AKAN,2026-01-31,,0,,0
AKAN,2026-02-28,,0,,0
AKBA,2026-01-31,,0,,0
AKBA,2026-02-28,,0,,0
AKO.A,2026-01-31,,0,,0
AKO.A,2026-02-28,,0,,0
AKO.B,2026-01-31,,0,,0
AKO.B,2026-02-28,,0,,0
AKR,2026-01-31,,0,,0
AKR,2026-02-28,,0,,0
AKTS,2026-01-31,,0,,0
AKTS,2026-02-28,,0,,0
AKTX,2026-01-31,,0,,0
AKTX,2026-02-28,,0,,0
ALAB,2026-01-31,,0,,0
ALAB,2026-02-28,,0,,0
ALAR,2026-01-31,,0,,0
ALAR,2026-02-28,,0,,0
ALB,2026-01-31,2026-03-30,1,,0
ALB,2026-02-28,2026-03-30,1,,0
ALB.PA,2026-01-31,,0,,0
ALB.PA,2026-02-28,,0,,0
ALBT,2026-01-31,,0,,0
ALBT,2026-02-28,,0,,0
ALC,2026-01-31,,0,,0
ALC,2026-02-28,,0,,0
ALCO,2026-01-31,,0,,0
ALCO,2026-02-28,,0,,0
ALDF,2026-01-31,,0,,0
ALDF,2026-02-28,,0,,0
ALDFU,2026-01-31,,0,,0
ALDFU,2026-02-28,,0,,0
ALDFW,2026-01-31,,0,,0
ALDFW,2026-02-28,,0,,0
ALDX,2026-01-31,,0,,0
ALDX,2026-02-28,,0,,0
ALEC,2026-01-31,,0,,0
ALEC,2026-02-28,,0,,0
ALF,2026-01-31,,0,,0
ALF,2026-02-28,,0,,0
ALFUU,2026-01-31,,0,,0
ALFUU,2026-02-28,,0,,0
ALFUW,2026-01-31,,0,,0
ALFUW,2026-02-28,,0,,0
ALG,2026-01-31,,0,,0
ALG,2026-02-28,,0,,0
ALGM,2026-01-31,,0,,0
ALGM,2026-02-28,,0,,0
ALGN,2026-01-31,,0,,0
ALGN,2026-02-28,,0,,0
ALGS,2026-01-31,,0,,0
ALGS,2026-02-28,,0,,0
ALGT,2026-01-31,,0,,0
ALGT,2026-02-28,,0,,0
ALH,2026-01-31,,0,,0
ALH,2026-02-28,,0,,0
ALHC,2026-01-31,,0,,0
ALHC,2026-02-28,,0,,0
ALIS,2026-01-31,,0,,0
ALIS,2026-02-28,,0,,0
ALISR,2026-01-31,,0,,0
ALISR,2026-02-28,,0,,0
ALISU,2026-01-31,,0,,0
ALISU,2026-02-28,,0,,0
ALIT,2026-01-31,,0,,0
ALIT,2026-02-28,,0,,0
ALK,2026-01-31,,0,,0
ALK,2026-02-28,,0,,0
ALKS,2026-01-31,,0,,0
ALKS,2026-02-28,,0,,0
ALKT,2026-01-31,,0,,0
ALKT,2026-02-28,,0,,0
ALL,2026-01-31,,0,,0
ALL,2026-02-28,,0,,0
ALL.PB,2026-01-31,,0,,0
ALL.PB,2026-02-28,,0,,0
ALL.PH,2026-01-31,,0,,0
ALL.PH,2026-02-28,,0,,0
ALL.PI,2026-01-31,,0,,0
ALL.PI,2026-02-28,,0,,0
ALL.PJ,2026-01-31,,0,,0
ALL.PJ,2026-02-28,,0,,0
ALLE,2026-01-31,,0,,0
ALLE,2026-02-28,,0,,0
ALLO,2026-01-31,,0,,0
ALLO,2026-02-28,,0,,0
ALLR,2026-01-31,,0,,0
ALLR,2026-02-28,,0,,0
ALLT,2026-01-31,,0,,0
ALLT,2026-02-28,,0,,0
ALLY,2026-01-31,,0,,0
ALLY,2026-02-28,,0,,0
ALM,2026-01-31,,0,,0
ALM,2026-02-28,,0,,0
ALMR,2026-01-31,,0,,0
ALMR,2026-02-28,,0,,0
ALMS,2026-01-31,,0,,0
ALMS,2026-02-28,,0,,0
ALMU,2026-01-31,,0,,0
ALMU,2026-02-28,,0,,0
ALNT,2026-01-31,,0,,0
ALNT,2026-02-28,,0,,0
ALNY,2026-01-31,,0,,0
ALNY,2026-02-28,,0,,0
ALOT,2026-01-31,,0,,0
ALOT,2026-02-28,,0,,0
ALOV,2026-01-31,,0,,0
ALOV,2026-02-28,,0,,0
ALOVU,2026-01-31,,0,,0
ALOVU,2026-02-28,,0,,0
ALOVW,2026-01-31,,0,,0
ALOVW,2026-02-28,,0,,0
ALOY,2026-01-31,,0,,0
ALOY,2026-02-28,,0,,0
ALP,2026-01-31,,0,,0
ALP,2026-02-28,,0,,0
ALPS,2026-01-31,,0,,0
ALPS,2026-02-28,,0,,0
ALRM,2026-01-31,,0,,0
ALRM,2026-02-28,,0,,0
ALRS,2026-01-31,,0,,0
ALRS,2026-02-28,,0,,0
ALSN,2026-01-31,,0,,0
ALSN,2026-02-28,,0,,0
ALT,2026-01-31,,0,,0
ALT,2026-02-28,,0,,0
ALTG,2026-01-31,,0,,0
ALTG,2026-02-28,,0,,0
ALTG.PA,2026-01-31,,0,,0
ALTG.PA,2026-02-28,,0,,0
ALTI,2026-01-31,,0,,0
ALTI,2026-02-28,,0,,0
ALTO,2026-01-31,,0,,0
ALTO,2026-02-28,,0,,0
ALUB,2026-01-31,,0,,0
ALUB,2026-02-28,,0,,0
ALUB.UN,2026-01-31,,0,,0
ALUB.UN,2026-02-28,,0,,0
ALUB.WT,2026-01-31,,0,,0
ALUB.WT,2026-02-28,,0,,0
ALV,2026-01-31,,0,,0
ALV,2026-02-28,,0,,0
ALVO,2026-01-31,,0,,0
ALVO,2026-02-28,,0,,0
ALVOW,2026-01-31,,0,,0
ALVOW,2026-02-28,,0,,0
ALX,2026-01-31,,0,,0
ALX,2026-02-28,,0,,0
ALXO,2026-01-31,,0,,0
ALXO,2026-02-28,,0,,0
ALZN,2026-01-31,,0,,0
ALZN,2026-02-28,,0,,0
AM,2026-01-31,,0,,0
AM,2026-02-28,,0,,0
AMAL,2026-01-31,,0,,0
AMAL,2026-02-28,,0,,0
AMAN,2026-01-31,,0,,0
AMAN,2026-02-28,,0,,0
AMAT,2026-01-31,,0,,0
AMAT,2026-02-28,,0,,0
AMBA,2026-01-31,,0,,0
AMBA,2026-02-28,,0,,0
AMBO,2026-01-31,,0,,0
AMBO,2026-02-28,,0,,0
AMBP,2026-01-31,,0,,0
AMBP,2026-02-28,,0,,0
AMBQ,2026-01-31,,0,,0
AMBQ,2026-02-28,,0,,0
AMBR,2026-01-31,,0,,0
AMBR,2026-02-28,,0,,0
AMC,2026-01-31,,0,,0
AMC,2026-02-28,,0,,0
AMCI,2026-01-31,,0,,0
AMCI,2026-02-28,,0,,0
AMCR,2026-01-31,,0,,0
AMCR,2026-02-28,,0,,0
AMCX,2026-01-31,,0,,0
AMCX,2026-02-28,,0,,0
AMD,2026-01-31,,0,,0
AMD,2026-02-28,,0,,0
AME,2026-01-31,,0,,0
AME,2026-02-28,,0,,0
AMG,2026-01-31,,0,,0
AMG,2026-02-28,,0,,0
AMGN,2026-01-31,,0,,0
